continente,Codigopais,Pais,popData2019,Suma de Casos,Suma de muertes,Máx. numero acumulado por 14 días de COVID-19 casos por 100000,Desempleo,Creci_poblacion,exportacion_ind,exportacion,Inflacion,pib,Pobl_laboral,desnutricion,Tasa de Mortalidad,Tasa de Casos
Europa,SWE,Suecia,10230185,320098,7514,747.0637139,8.72,0.600591533,45.49393018,1.89516E+11,2.163197364,4.445903958,5514678,2.5,0.073449307,3.128956123
Europa,CHE,Suiza,8544527,372329,5378,1262.059328,5.1,0.752392087,71.37129447,3.80194E+11,0.581814168,3.440503207,4980848,2.5,0.062940874,4.357514465
Europa,TUR,Turquia,82003882,995471,16199,533.3491407,11.98,0.757771488,35.30301422,2.25214E+11,19.59649269,10.51288036,33317079,2.5,0.019753943,1.213931555
Europa,UKR,Ucrania,43993643,900666,15247,456.0681642,9.83,-0.771557698,40.7486738,68073000000,9.363139177,4.318458481,20285701,2.8,0.03465728,2.047263965
Europa,GBR,Reino Unido,66647112,1849403,64170,505.4232508,4.826,0.365409887,27.94926023,4.70508E+11,2.518371096,7.132720706,34465042,2.5,0.096283242,2.774918439
Oceania,AUS,Australia,25203200,28031,908,26.77437786,5.12,0.127728296,22.07516851,3.44864E+11,2.863910422,2.105711229,13807641,2.5,0.003602717,0.111220004
Oceania,FJI,Fiyi,889955,46,2,1.23601755,4.929,0.453976646,27.30659784,815000000,0.155855722,-5.541402213,370522,5.7,0.00022473,0.005168801
Oceania,NZL,Nueva Zelanda,4783062,1740,25,16.91385142,3.78,0.634500014,22.5359801,44777000000,3.941120608,3.058028016,2941259,2.5,0.000522678,0.03637837
Oceania,SLB,Islas Salomon,669821,17,0,1.49293617,0.988,2.3817423,25.3620403,371000000,-0.115437894,-2.551286493,360083,18.1,0,0.002537991
Oceania,VUT,Vanuatu,299882,1,0,0.3334645,2.118,2.362741525,9.859276031,54000000,2.343283582,-1.896281202,132757,11.9,0,0.000333464
